,Unnamed: 0,Song,Performer,Negative,Neutral,Positive,Compound
0,0,Firework,Katy Perry,0.042,0.848,0.11,0.9722
1,1,Grenade,Bruno Mars,0.101,0.613,0.287,0.9972
2,2,What's My Name?,Rihanna Featuring Drake,0.004,0.92,0.076,0.9897
3,3,Raise Your Glass,P!nk,0.191,0.742,0.067,0.9898999999999999
4,4,We R Who We R,Ke$ha,0.164,0.742,0.094,0.9492
5,5,Just The Way You Are,Bruno Mars,0.065,0.668,0.267,0.9986
6,6,Only Girl (In The World),Rihanna,0.015,0.709,0.276,0.9977
7,7,The Time (Dirty Bit),The Black Eyed Peas,0.079,0.817,0.104,0.9596
8,8,6 Foot 7 Foot,Lil Wayne Featuring Cory Gunz,0.219,0.665,0.115,0.9984
9,9,Just A Dream,Nelly,0.058,0.761,0.181,0.9942
10,10,Bottoms Up,Trey Songz Featuring Nicki Minaj,0.076,0.821,0.103,0.9642
11,11,Black And Yellow,Wiz Khalifa,0.061,0.828,0.111,0.9778
12,12,Tonight (I'm Lovin' You),Enrique Iglesias Featuring Ludacris & DJ Frank E,0.045,0.815,0.14,0.9826
13,13,Like A G6,Far*East Movement Featuring Cataracs & Dev,0.063,0.707,0.23,0.9974999999999999
14,14,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,0.067,0.729,0.204,0.9984
15,15,Stereo Love,Edward Maya & Vika Jigulina,0.162,0.715,0.123,0.9564
16,16,Dynamite,Taio Cruz,0.009,0.807,0.185,0.9952
17,17,No Hands,Waka Flocka Flame Featuring Roscoe Dash & Wale,0.113,0.807,0.08,0.0969
18,18,Coming Home,Diddy - Dirty Money Featuring Skylar Grey,0.096,0.752,0.152,0.9914
19,19,Yeah 3X,Chris Brown,0.031,0.67,0.299,0.9989000000000001
20,20,Please Don't Go,Mike Posner,0.022,0.804,0.174,0.9933
21,21,Teenage Dream,Katy Perry,0.058,0.816,0.126,0.9704
22,22,Animal,Neon Trees,0.061,0.832,0.107,0.7489
23,23,F**k You! (Forget You),Cee Lo Green,0.065,0.855,0.08,0.9991
24,24,Secrets,OneRepublic,0.206,0.707,0.088,0.9935
25,25,Back To December,Taylor Swift,0.055,0.783,0.163,0.9898999999999999
26,26,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,0.056,0.884,0.06,0.0779
27,27,Right Above It,Lil Wayne Featuring Drake,0.183,0.692,0.125,0.9923
28,28,Right Thru Me,Nicki Minaj,0.24,0.685,0.075,0.9984999999999999
29,29,Aston Martin Music,Rick Ross Featuring Drake & Chrisette Michele,0.137,0.755,0.108,0.9804
30,30,That's All She Wrote,T.I. Featuring Eminem,0.158,0.704,0.138,0.09890000000000002
31,31,Club Can't Handle Me,Flo Rida Featuring David Guetta,0.037,0.873,0.09,0.0987
32,32,I Like It,Enrique Iglesias Featuring Pitbull,0.089,0.623,0.287,0.9992000000000001
33,33,If I Die Young,The Band Perry,0.065,0.72,0.215,0.9945
34,34,Whip My Hair,Willow,0.047,0.864,0.089,0.9816
35,35,Somewhere With You,Kenny Chesney,0.05,0.83,0.121,0.9705999999999999
36,36,No Love,Eminem Featuring Lil Wayne,0.203,0.602,0.195,0.09790000000000001
37,37,Deuces,Chris Brown Featuring Tyga & Kevin McCall,0.087,0.794,0.119,0.0973
38,38,Hold My Hand,Michael Jackson Duet With Akon,0.063,0.773,0.164,0.9999
39,39,Felt Good On My Lips,Tim McGraw,0.093,0.622,0.285,0.9961
40,40,Rocketeer,Far*East Movement Featuring Ryan Tedder,0.052,0.85,0.099,0.8819000000000001
41,41,Pretty Girl Rock,Keri Hilson,0.056,0.586,0.358,0.9997999999999999
42,42,My Kinda Party,Jason Aldean,0.047,0.79,0.163,0.9843999999999999
43,43,Love The Way You Lie,Eminem Featuring Rihanna,0.217,0.663,0.121,0.9982
44,44,Kush,Dr. Dre Featuring Snoop Dogg & Akon,0.159,0.776,0.065,0.9962
45,45,Jar Of Hearts,Christina Perri,0.041,0.777,0.181,0.0991
46,46,Stuck Like Glue,Sugarland,0.126,0.703,0.17,0.9823999999999999
47,47,Love Like Woe,The Ready Set,0.056,0.655,0.289,0.9994
48,48,Can't Be Friends,Trey Songz,0.168,0.624,0.208,0.9428000000000001
49,49,Memories,David Guetta Featuring Kid Cudi,0.073,0.597,0.33,0.9971
50,50,Who Are You When I'm Not Looking,Blake Shelton,0.089,0.807,0.104,0.7622
51,51,Mine,Taylor Swift,0.109,0.688,0.202,0.9907
52,52,Down On Me,Jeremih Featuring 50 Cent,0.071,0.8,0.129,0.9812
53,53,As She's Walking Away,Zac Brown Band Featuring Alan Jackson,0.214,0.636,0.15,0.9574
54,54,Rhythm of Love,Plain White T's,0.067,0.664,0.269,0.9965999999999999
55,55,Dog Days Are Over,Florence + The Machine,0.083,0.755,0.162,0.9782
56,56,We No Speak Americano,Yolanda Be Cool & Dcup,0.052,0.879,0.07,0.5349
57,57,Mama's Song,Carrie Underwood,0.054,0.563,0.383,0.9972
58,58,Turn On The Radio,Reba,0.114,0.737,0.149,0.5796
59,59,Don't You Wanna Stay,Jason Aldean With Kelly Clarkson,0.054,0.862,0.083,0.9993000000000001
60,60,Put You In A Song,Keith Urban,0.013,0.714,0.272,0.9972
61,61,Let Me Down Easy,Billy Currington,0.034,0.685,0.28,0.9933
62,62,Voices,Chris Young,0.076,0.725,0.199,0.9852000000000001
63,63,Lay It Down,Lloyd,0.0,0.897,0.103,0.9814
64,64,Why Wait,Rascal Flatts,0.066,0.781,0.153,0.9794
65,65,Maybe,Sick Puppies,0.165,0.753,0.082,0.09709999999999999
66,66,The Breath You Take,George Strait,0.05,0.838,0.112,0.9436
67,67,Only Prettier,Miranda Lambert,0.059,0.615,0.326,0.9967
68,68,Who Dat Girl,Flo Rida Featuring Akon,0.057,0.839,0.104,0.9671
69,69,Fire Flame,Birdman Featuring Lil Wayne,0.287,0.62,0.094,0.09990000000000002
70,70,Make A Movie,Twista Featuring Chris Brown,0.04,0.787,0.173,0.9978
71,71,Waiting For The End,Linkin Park,0.213,0.675,0.113,0.9916
72,72,Marry Me,Train,0.008,0.747,0.245,0.9928000000000001
73,73,Bass Down Low,Dev Featuring The Cataracs,0.16,0.72,0.119,0.9137000000000001
74,74,Fall For Your Type,Jamie Foxx Featuring Drake,0.087,0.733,0.18,0.9921
75,75,Anything Like Me,Brad Paisley,0.105,0.706,0.189,0.9452999999999999
76,76,Little Lion Man,Mumford & Sons,0.364,0.573,0.062,0.9977
78,78,Hello World,Lady Antebellum,0.068,0.739,0.193,0.9792
79,79,Higher,Taio Cruz Featuring Travie McCoy,0.009,0.85,0.142,0.9953
80,80,No BS,Chris Brown,0.181,0.684,0.135,0.0983
